paper,url,year,model,top1_error,top5_error,flops,multiadds,#params,training_time,time_sec,#epochs,#training_data,gpu,#gpu,tpu,#tpu,hw_gflops,comments
Selftraining with Noisy Student improves ImageNet classification,https://arxiv.org/abs/1911.04252,2020,NoisyStudent(EfficientNetL2),11.6,1.3,,,4.80E+08,6 days,5.18E+05,700,1200000,,,Cloud TPU v3 Pod,1,1.00E+08,
Selftraining with Noisy Student improves ImageNet classification,https://arxiv.org/abs/1911.04252,2020,NoisyStudent(EfficientNetL2),12.6,,,,,6 days,5.18E+05,700,1200000,,,Cloud TPU v3 Pod,1,1.00E+08,
Fixing the traintest resolution discrepancy,https://arxiv.org/pdf/1906.06423v3.pdf,2019,FixResNeXt101 32x48d,13.6,2,,,8.29E+08,151.5 hours,5.46E+05,,1200000,Tesla V100 PCIe 32 GB,8,,,1.13E+05,
Fixing the traintest resolution discrepancy,https://arxiv.org/pdf/1906.06423v3.pdf,2019,FixResNet50 Billion,17.5,3.9,,,2.56E+07,151.5 hours,5.46E+05,,1200000,Tesla V100 PCIe 32 GB,8,,,1.13E+05,
Fixing the traintest resolution discrepancy,https://arxiv.org/pdf/1906.06423v3.pdf,2019,FixResNet50 CutMix,20.2,5.1,,,2.56E+07,151.5 hours,5.46E+05,,1200000,Tesla V100 PCIe 32 GB,8,,,1.13E+05,
Fixing the traintest resolution discrepancy,https://arxiv.org/pdf/1906.06423v3.pdf,2019,FixResNet50,20.9,5.4,,,2.56E+07,151.5 hours,5.46E+05,,1200000,Tesla V100 PCIe 32 GB,8,,,1.13E+05,
SCARLETNAS: Bridging the Gap between Stability and Scalability in Weightsharing Neural Architecture Search,https://arxiv.org/pdf/1908.06022v5.pdf,2020,SCARLETA,23.1,6.6,,3.65E+08,6.70E+06,10 GPU days,4.32E+05,,1200000,Tesla V100 PCIe 32 GB,2,,,2.83E+04,
SCARLETNAS: Bridging the Gap between Stability and Scalability in Weightsharing Neural Architecture Search,https://arxiv.org/pdf/1908.06022v5.pdf,2020,SCARLETA4,17.7,4,4.20E+09,1.00E+09,2.78E+07,10 GPU days,8.64E+05,,1200000,Tesla V100 PCIe 32 GB,1,,,1.41E+04,
SCARLETNAS: Bridging the Gap between Stability and Scalability in Weightsharing Neural Architecture Search,https://arxiv.org/pdf/1908.06022v5.pdf,2020,SCARLETC,24.4,7.4,,2.80E+08,6.00E+06,10 GPU days,8.64E+05,,1200000,Tesla V100 PCIe 32 GB,1,,,1.41E+04,
SCARLETNAS: Bridging the Gap between Stability and Scalability in Weightsharing Neural Architecture Search,https://arxiv.org/pdf/1908.06022v5.pdf,2020,SCARLETB,23.7,7,3.29E+08,3.29E+08,6.50E+06,10 GPU days,8.64E+05,,1200000,Tesla V100 PCIe 32 GB,1,,,1.41E+04,
SCARLETNAS: Bridging the Gap between Stability and Scalability in Weightsharing Neural Architecture Search,https://arxiv.org/pdf/1908.06022v5.pdf,2020,SCARLETA2,20.5,5.2,,1.00E+09,1.25E+07,10 GPU days,8.64E+05,,1200000,Tesla V100 PCIe 32 GB,1,,,1.41E+04,
MnasNet: PlatformAware Neural Architecture Search for Mobile,https://arxiv.org/pdf/1807.11626v3.pdf,2019,MnasNetA1,24.8,7.5,,3.12E+08,3.90E+06,4.5 days,3.89E+05,5,50000,,,Cloud TPU v2,64,1.80E+05,
MnasNet: PlatformAware Neural Architecture Search for Mobile,https://arxiv.org/pdf/1807.11626v3.pdf,2019,MnasNetA2,24.6,7.3,,3.40E+08,4.80E+06,4.5 days,3.89E+05,5,50000,,,Cloud TPU v3,64,1.80E+05,
MnasNet: PlatformAware Neural Architecture Search for Mobile,https://arxiv.org/pdf/1807.11626v3.pdf,2019,MnasNetA3,23.3,6.7,,4.03E+08,5.20E+06,4.5 days,3.89E+05,5,50000,,,Cloud TPU v4,64,1.80E+05,
VERY DEEP CONVOLUTIONAL NETWORKS FOR LARGESCALE IMAGE RECOGNITION,https://arxiv.org/pdf/1409.1556v6.pdf,2015,VGG19,25.5,8,,,,2~3 weeks,1.51E+06,74,1200000,GeForce GTX Titan Black,4,,,2.05E+04,
VERY DEEP CONVOLUTIONAL NETWORKS FOR LARGESCALE IMAGE RECOGNITION,https://arxiv.org/pdf/1409.1556v6.pdf,2015,VGG16,25.6,8.1,,,,2~3 weeks,1.51E+06,74,1200000,GeForce GTX Titan Black,4,,,2.05E+04,
Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,https://arxiv.org/pdf/1406.4729v4.pdf,2015,SPPNet,27.86,,,,,2 ~ 4 weeks,1.81E+06,90,1200000,,1,,,,
Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,https://arxiv.org/pdf/1406.4729v4.pdf,2015,MSRA,28.68,,,,,2 ~ 4 weeks,1.81E+06,90,1200000,,1,,,,
Visualizing and Understanding Convolutional Networks,https://arxiv.org/pdf/1311.2901v3.pdf,2013,"ZFNet(ensemble, 6 convnets)",36,14.7,,,,12 days,1.04E+06,70,1200000,GeForce GTX 580,1,,,1.58E+03,
Visualizing and Understanding Convolutional Networks,https://arxiv.org/pdf/1311.2901v3.pdf,2013,"ZFNet(1 convnet, 512,1024,512 maps)",37.5,16,,,,12 days,1.04E+06,70,1200000,GeForce GTX 580,1,,,1.58E+03,
Xception: Deep Learning with Depthwise Separable Convolutions,https://arxiv.org/pdf/1610.02357v3.pdf,2017,Xception,21,5.5,,,2.29E+07,3 days,2.59E+05,,1200000,Tesla K80,60,,,3.36E+05,
Drop an Octave: Reducing Spatial Redundancy in Convolutional Neural Networks with Octave Convolution,https://arxiv.org/pdf/1904.05049v3.pdf,2019,OctResNet152(SE) 224x224,17.1,3.7,2.22E+10,,6.68E+07,95 imgs/sec,1.47E+09,,1200000,Tesla V100 PCIe 32 GB,1,,,1.41E+04,
Searching Beyond MobileNetV3,https://arxiv.org/pdf/1908.01314v4.pdf,2020,MoGAA,24.1,7.2,,3.04E+08,5.10E+06,12 GPU days,,,1200000,,,,,,
Delving Deep into Rectifiers: Surpassing HumanLevel Performance on ImageNet Classification,https://arxiv.org/pdf/1502.01852v1.pdf,2015,PReLUNet,24.27,7.38,,,,3 ~ 4 weeks,2.12E+06,80,1200000,Tesla K20,4,,,1.41E+04,
ImageNet Classification with Deep Convolutional Neural Networks,http://papers.nips.cc/paper/4824imagenetclassificationwithdeepconvolutionalneuralnetworks.pdf,2012,AlexNet  7CNNs,36.7,15.3,,,6.00E+07,5 ~ 6 days,4.75E+05,90,1200000,GeForce GTX 580,2,,,3.16E+03,
